,Company,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,OpSys,Weight,Price_euros
305,10,15.6,0,1,87,1.1,4.0,15,2,0,2.2,359.99
306,7,13.3,7,1,64,2.8,16.0,18,2,6,1.28,1975.0
307,16,15.6,15,1,55,2.5,8.0,18,3,6,2.2,1043.0
308,10,15.6,8,1,46,2.5,8.0,20,3,6,2.3,819.0
309,7,15.6,8,1,36,2.0,4.0,15,2,6,1.86,469.0
310,10,13.3,15,1,46,2.5,8.0,18,2,6,1.1,999.0
311,4,13.3,11,1,70,1.8,16.0,33,2,6,1.21,2499.0
312,11,15.6,15,1,66,2.8,16.0,24,3,6,2.8,2099.0
313,0,15.6,8,0,9,2.2,8.0,18,0,6,2.23,469.0
314,2,11.6,36,1,22,1.1,2.0,4,2,6,1.1,275.0
315,4,15.6,8,1,53,1.6,8.0,20,0,6,2.33,844.0
316,7,13.3,11,1,70,1.8,16.0,33,2,6,1.29,2449.0
317,10,13.3,0,1,19,1.6,4.0,2,2,3,1.45,459.9
318,7,14.0,8,1,46,2.5,8.0,18,2,6,1.95,980.0
319,0,11.6,0,1,86,1.6,4.0,9,2,6,1.4,485.0
320,7,14.0,8,1,62,2.7,8.0,18,2,6,1.48,1292.0
321,10,17.3,2,1,46,2.5,4.0,15,3,6,2.79,589.0
322,2,14.0,8,1,62,2.7,8.0,18,2,6,2.0,1094.0
323,7,15.6,14,1,70,1.8,8.0,15,2,6,2.1,902.0
324,0,15.6,0,0,4,2.7,8.0,18,0,6,2.2,659.0
325,10,14.0,0,1,22,1.1,4.0,4,2,6,1.44,292.0
326,0,15.6,0,1,46,2.5,6.0,15,2,6,2.23,549.0
327,2,15.6,8,1,62,2.7,8.0,18,3,6,1.7,1049.9
328,7,12.5,8,1,62,2.7,8.0,18,2,6,1.26,1335.0
329,4,15.6,5,1,66,2.8,32.0,33,3,6,2.06,2639.0
330,11,17.3,8,1,66,2.8,8.0,24,3,6,2.7,1199.0
331,16,15.6,15,1,46,2.5,8.0,18,2,6,2.0,943.0
332,2,14.0,8,1,62,2.7,8.0,24,2,6,2.0,1334.0
333,10,15.6,8,1,36,2.0,4.0,15,2,6,1.85,449.0
334,2,15.6,8,1,66,2.8,8.0,18,3,6,2.5,999.0
335,7,14.0,8,1,48,2.6,8.0,18,2,6,1.48,1268.0
336,4,15.6,15,1,53,1.6,8.0,20,3,6,1.9,1049.0
337,7,15.6,8,1,46,2.5,8.0,18,2,6,1.84,1144.0
338,2,15.6,0,1,22,1.1,4.0,15,2,1,2.0,274.99
339,4,15.6,8,1,53,1.6,8.0,18,3,6,2.0,1142.75
340,4,15.6,0,1,21,1.6,4.0,11,2,1,2.2,274.9
341,10,15.6,8,0,4,3.6,12.0,22,0,6,2.2,899.0
342,7,15.6,15,1,38,2.4,8.0,15,3,6,2.1,716.0
343,10,13.9,11,1,70,1.8,16.0,27,2,6,1.4,2099.0
344,4,13.3,8,1,70,1.8,8.0,18,2,6,1.2,1579.0
345,10,15.6,15,1,66,2.8,16.0,30,3,6,2.4,1129.0
346,7,14.0,0,1,21,1.6,2.0,4,2,6,1.44,279.0
347,4,15.6,8,1,71,1.9,16.0,32,2,6,1.88,1607.96
348,2,11.6,36,1,22,1.1,4.0,4,2,6,1.5,375.0
349,4,15.6,8,1,53,1.6,8.0,15,0,6,1.9,663.0
350,4,15.6,5,1,66,2.8,16.0,27,3,6,2.06,2027.42
351,7,15.6,8,1,62,2.7,8.0,18,2,6,1.84,1304.0
352,11,17.3,8,1,66,2.8,8.0,20,3,6,2.7,1409.0
353,7,15.6,8,1,66,2.8,8.0,18,3,6,2.6,1738.27
354,16,15.6,15,1,55,2.5,16.0,27,3,6,2.4,1403.0
355,4,15.6,8,1,70,1.8,8.0,29,0,6,2.02,970.9
356,10,15.6,0,1,22,1.1,4.0,15,2,0,2.2,321.99
357,4,15.6,8,1,47,2.5,8.0,15,3,6,2.65,999.0
358,4,15.6,36,1,46,2.5,8.0,22,2,6,2.36,557.37
359,4,14.0,8,1,48,2.6,8.0,18,2,6,1.36,1427.0
360,7,15.6,0,1,36,2.0,4.0,11,2,6,1.86,439.0
361,2,14.0,8,1,46,2.5,8.0,18,2,6,2.0,945.0
362,10,17.3,2,1,46,2.5,6.0,20,3,6,2.8,719.0
363,7,15.6,8,1,46,2.5,8.0,15,2,6,1.86,639.0
364,10,15.6,0,1,36,2.0,8.0,18,3,0,2.2,499.0
365,7,15.6,0,1,86,1.6,8.0,22,2,6,2.04,389.0
366,4,17.3,8,1,53,1.6,8.0,20,0,6,2.8,1085.0
367,10,15.6,15,1,47,2.5,8.0,20,3,0,2.4,809.0
368,4,15.6,8,1,62,2.7,8.0,18,0,6,2.33,899.0
369,7,14.0,15,1,62,2.7,8.0,18,2,6,1.36,1750.0
370,2,15.6,7,1,62,2.7,12.0,34,3,6,2.26,1099.0
371,0,15.6,0,0,11,3.0,4.0,10,0,6,2.1,426.0
372,2,17.3,15,0,89,3.0,16.0,24,0,6,3.25,2199.0
373,10,17.3,2,0,9,2.2,4.0,10,0,6,2.6,489.0
374,4,13.3,7,1,70,1.8,8.0,18,2,6,1.62,869.01
375,7,15.6,8,0,11,3.0,4.0,18,0,6,1.91,488.99
376,10,11.6,9,1,24,1.1,4.0,10,2,6,1.59,553.0
377,4,15.6,0,1,21,1.6,4.0,11,2,6,1.8,309.0
378,2,14.0,0,1,22,1.1,4.0,4,2,6,1.5,286.0
379,0,15.6,8,1,66,2.8,8.0,15,3,1,2.4,846.0
380,7,17.3,15,1,66,2.8,8.0,20,3,6,3.35,1191.0
381,10,15.6,8,1,36,2.0,4.0,10,2,0,1.85,403.5
382,2,15.6,15,1,66,2.8,8.0,20,3,6,2.3,1655.0
383,10,14.0,15,1,46,2.5,8.0,18,3,6,1.5,1099.0
384,2,13.3,7,1,62,2.7,16.0,27,2,6,1.1,1748.9
385,10,14.0,10,1,62,2.7,8.0,27,2,6,1.13,2282.0
386,10,13.3,15,1,38,2.4,4.0,10,2,6,1.5,549.0
387,4,15.6,8,1,45,2.6,8.0,11,0,6,2.23,1369.0
388,4,15.6,15,1,60,2.7,8.0,18,3,6,2.0,2135.0
389,10,14.0,39,1,62,2.7,16.0,27,2,6,1.42,2509.0
390,2,17.3,8,1,66,2.8,8.0,15,3,6,3.0,1039.0
391,2,17.3,8,1,66,2.8,16.0,24,3,6,3.0,1591.0
392,0,15.6,9,1,53,1.6,12.0,15,3,6,2.2,693.99
393,11,17.3,8,1,66,2.8,8.0,18,3,6,2.7,1349.0
394,4,15.6,8,1,62,2.7,8.0,18,0,1,2.33,778.87
395,7,15.6,8,0,11,3.0,4.0,18,0,6,1.91,499.0
396,10,15.6,15,1,70,1.8,8.0,18,0,6,2.1,1229.56
397,10,14.0,15,1,46,2.5,8.0,18,2,6,1.9,938.0
398,4,15.6,5,1,66,2.8,8.0,18,3,6,1.78,2712.0
399,10,14.0,10,1,62,2.7,16.0,33,2,6,1.13,2625.0
400,10,15.6,0,1,22,1.1,4.0,15,2,6,2.2,306.0
401,2,17.3,8,1,66,2.8,16.0,24,3,6,2.9,1529.0
402,10,15.6,15,1,53,1.6,8.0,24,0,6,2.1,1144.5
403,0,15.6,8,1,66,2.8,8.0,18,3,1,2.5,879.0
404,11,17.3,8,1,66,2.8,16.0,24,3,6,2.8,2249.0
405,2,14.0,8,1,62,2.7,8.0,27,2,6,1.1,1873.0
406,16,13.3,8,1,55,2.5,16.0,27,2,6,1.2,1747.0
407,4,14.0,8,1,64,2.8,8.0,27,2,6,1.36,1680.0
408,10,15.6,8,1,36,2.0,4.0,11,2,6,2.2,409.0
409,10,11.6,0,1,22,1.1,2.0,4,2,6,1.15,304.45
410,10,15.6,8,1,66,2.8,8.0,27,3,6,2.67,1925.0
411,10,14.0,18,1,66,2.8,8.0,27,3,6,1.7,1943.0
412,7,15.6,8,1,36,2.0,4.0,15,0,6,2.1,469.0
413,0,13.3,13,1,55,2.5,8.0,18,2,6,1.6,789.01
414,2,13.3,13,1,46,2.5,8.0,18,2,6,1.27,928.0
415,4,15.6,8,1,46,2.5,4.0,18,0,1,2.3,598.9
416,4,13.3,0,1,36,2.0,4.0,10,2,6,1.65,689.0
417,7,14.0,8,1,55,2.5,8.0,18,2,6,1.43,1500.0
418,4,15.6,0,1,46,2.5,8.0,15,2,6,2.14,539.95
419,10,14.0,15,1,70,1.8,8.0,18,0,6,1.75,1215.38
420,10,15.6,11,1,66,2.8,16.0,27,3,6,2.0,1899.0
421,3,12.3,24,1,24,1.1,6.0,7,2,6,1.4,449.0
